BoM Name,Level,Product Reference,Product Name,Quantity,Unit of Measure,BoM Reference
,> > > > > ,PP-GP0365,[PP-GP0365] Y Corner Left,1,PCE,
,> > > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0077,"Reel, 5lb",
,> > > > ,PP-IS0090,[PP-IS0090] Y-Corner Right with Inserts,2,PCE,
,> > > > > ,HD-MS0030,"[HD-MS0030] Metric Brass Heat-Set Tapered Insert, M3-.5 Internal Thread, 3.8mm Length",1,PCE,
,> > > > > ,PP-GP0364,[PP-GP0364] Y Corner Right,1,PCE,
,> > > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0079,"Reel, 5lb",
,> > > > > ,HD-MS0158,"[HD-MS0158] Metric Brass Heat-Set Insert For Plastics Tapered, M5-.8 Internal Thread, 6.7mm Length",1,PCE,
,> > > > ,EL-HR0146,"[EL-HR0146] Bed Extension Harness, Assembled",1,PCE,
,> > > > > ,PC-CN0050,[PC-CN0050] CONN HOUSING MALE 3POS .100,1,PCE,
,> > > > > ,EL-WR0119,[EL-WR0119] 24AWG Stranded Wire – Green,22,cm,
,> > > > > ,EL-WR0105,[EL-WR0105] 24AWG Stranded – Black,5.5,cm,
,> > > > > ,EL-MS0416,"[EL-MS0416] Solder Sleeve B155-9002, Clear 0.105"" one step",1,PCE,
,> > > > > ,EL-MS0329,"[EL-MS0329] TVS Diode – 1500W, 5V Reverse Standoff, 6V Breakdown, 9.4V Clamp, 200A Surge",1,PCE,
,> > > > > ,EL-MS0247,"[EL-MS0247] Heat Shrink Tubing – 0.19-0.09 – Black, 100'",85,mm,
,> > > > > ,EL-MS0205,[EL-MS0205] Molex-CONN TERM MALE 22-24AWG TIN - Reels of 20K,3,PCE,
,> > > > > ,EL-MS0141,[EL-MS0141] Term Ring Non Ins 26-22AWG #4  Order Bulk Only,3,PCE,
,> > > ,AS-PR0162,"[AS-PR0162] Control Box Assembly, Workhorse",1,PCE,T8707 7/15/2019
,> > > > ,AS-PR0169,[AS-PR0169] 5A Fuse Mount Subassembly,1,PCE,T8023 7/16/2019
,> > > > > ,EL-MS0235,[EL-MS0235] Surface Mount Fuses 125V V/FA 5A NANO2,5,PCE,
,> > > > > ,PP-GP0463,"[PP-GP0463] 5A Fuse Sleeve, LulzBot Green, Flexible",1,PCE,
,> > > > > > ,RM-TE0027,"[RM-TE0027] LulzBot Green NinjaFlex TPE Filament, 3mm. 0.75kg Fenner Drives",0.01,"Reel, 0.75kg",
,> > > > > ,PP-GP0464,"[PP-GP0464] 5A Fuse Mount, Black",1,PCE,
,> > > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0034,"Reel, 5lb",
,> > > > ,EL-HR0147,"[EL-HR0147] LCD-USB Harness, Assembled",2,PCE,T8023 7/16/2019
,> > > > > ,PC-CN0010,"[PC-CN0010] Conn Socket IDC, 10POS DUAL 30AU, ",2,PCE,
,> > > > > ,EL-CA0078,"[EL-CA0078] Flat Cables .050"" 10C 10 COLOR 28AWG STRANDED",200,mm,
,> > > > ,EL-HR0152,"[EL-HR0152] CB PSU to Ground Green Harness, Assembled",1,PCE,T8023 7/16/2019
,> > > > > ,EL-MS0246,[EL-MS0246] Conn Ring 16-22 AWG #4 Red PIDG - Reel 5000,1,PCE,
,> > > > > ,EL-WR0124,[EL-WR0124] 16AWG Stranded – Green w/ yellow stripe,100,mm,
,> > > > > ,EL-MS0497,[EL-MS0497] CONN SPADE TERM 16-22AWG #6 RED,1,PCE,
,> > > > ,EL-HR0154,"[EL-HR0154] DC Power Harness, Assembled",1,PCE,T8023 7/16/2019
,,,,,,
,> > > > > ,EL-MS0361,[EL-MS0361] 16 AWG 6.0mm Pin Length Power Phase Black Single Wire - Insulated Ferrule ,6,PCE,
,> > > > > ,EL-MS0497,[EL-MS0497] CONN SPADE TERM 16-22AWG #6 RED,6,PCE,
,> > > > > ,EL-WR0106,[EL-WR0106] 16AWG Stranded – Red,165,cm,
,> > > > > ,EL-WR0121,[EL-WR0121] 16AWG Stranded Wire – Black,165,cm,
,> > > > > ,PC-CN0036,[PC-CN0036] Term Block Plug 6POS STR 5.08mm,1,PCE,
,> > > > ,EL-HR0167,[EL-HR0167] Plug to ground green,1,PCE,T8023 7/16/2019
,,,,,,
,> > > > > ,EL-MS0143,[EL-MS0143] Conn Fast Receptacle14-16 AWG .250 - REEL of 2200 Units,1,PCE,
,> > > > > ,EL-MS0246,[EL-MS0246] Conn Ring 16-22 AWG #4 Red PIDG - Reel 5000,1,PCE,
,> > > > > ,EL-WR0124,[EL-WR0124] 16AWG Stranded – Green w/ yellow stripe,120,mm,
,> > > > ,EL-HR0173,"[EL-HR0173] TAZ Workhorse, CB X Harness",1,PCE,T8023 7/16/2019
,> > > > > ,EL-MS0059,[EL-MS0059] Molex-CONN TERM FEMALE 22-24AWG TIN Reels of 20K,13,PCE,
,> > > > > ,EL-MS0062,[EL-MS0062] MOLEX-CONN HOUSING 4POS .100 W/LATCH,1,PCE,
,> > > > > ,EL-MS0141,[EL-MS0141] Term Ring Non Ins 26-22AWG #4  Order Bulk Only,2,PCE,
,> > > > > ,EL-MS0329,"[EL-MS0329] TVS Diode – 1500W, 5V Reverse Standoff, 6V Breakdown, 9.4V Clamp, 200A Surge",1,PCE,
,> > > > > ,EL-MS0416,"[EL-MS0416] Solder Sleeve B155-9002, Clear 0.105"" one step",1,PCE,
,> > > > > ,EL-WR0099,[EL-WR0099] Shielded 22AWG UL2464 4 COND,18,cm,
,> > > > > ,EL-WR0105,[EL-WR0105] 24AWG Stranded – Black,12,cm,
,> > > > > ,EL-WR0119,[EL-WR0119] 24AWG Stranded Wire – Green,49,cm,
,> > > > > ,PC-CN0003,[PC-CN0003] Molex - CONN HOUSING 3POS .100 W/LATCH,1,PCE,
,> > > > > ,PC-CN0060,[PC-CN0060] Female 10 pin Molex Connector Housing ,1,PCE,
,> > > > ,EL-HR0174,"[EL-HR0174] TAZ Workhorse, Bed Power Harness",1,PCE,T8023 7/16/2019
,> > > > > ,EL-MS0008,"[EL-MS0008] Anderson-Heavy Duty Power Connectors HOUSING ONLY, BLACK-BULK POWERPOLE 15/45",4,PCE,
,> > > > > ,EL-MS0010,[EL-MS0010] Heavy Duty Power Connectors POWERPOLE 15A CONT,4,PCE,
,> > > > > ,EL-WR0135,[EL-WR0135] WIRE MTW 16AWG PPL 500ft SPOOL 600V 26-STRAND BARE COPPER - Purple,90,cm,
,> > > > > ,EL-WR0157,"[EL-WR0157] SELF-WRAPPING BRAIDED SLEEVING - 1/4"" - BLACK - 200 FT SPOOL ",430,mm,
,> > > > > ,HD-TB0075,"[HD-TB0075] Heat-Shrink Tubing, 25 Feet Long, 0.38"" ID Before Shrinking",0.01,"ft, 25",
,> > > > ,EL-HR0175,"[EL-HR0175] TAZ Workhorse,  CB Extruder Harness",1,PCE,T8023 7/16/2019
,> > > > > ,EL-MS0059,[EL-MS0059] Molex-CONN TERM FEMALE 22-24AWG TIN Reels of 20K,22,PCE,
,> > > > > ,EL-MS0062,[EL-MS0062] MOLEX-CONN HOUSING 4POS .100 W/LATCH,1,PCE,
,> > > > > ,EL-MS0141,[EL-MS0141] Term Ring Non Ins 26-22AWG #4  Order Bulk Only,2,PCE,
,> > > > > ,EL-MS0259,"[EL-MS0259] Heat Shrink DL WL Q53X 3/4""",4.25,cm,
,> > > > > ,EL-MS0342,[EL-MS0342] Ferrite Tubular Bead 7.87MM RoHS Status,1,PCE,
,> > > > > ,EL-MS0362,[EL-MS0362] 24 AWG 6.0mm Pin Length Single Wire - Insulated Ferrule,2,PCE,
,> > > > > ,EL-WR0099,[EL-WR0099] Shielded 22AWG UL2464 4 COND,17.5,cm,
,> > > > > ,EL-WR0103,[EL-WR0103] 24AWG Stranded – Red,40,cm,
,> > > > > ,EL-WR0104,[EL-WR0104] 24AWG Stranded – Orange,40,cm,
,> > > > > ,EL-WR0105,[EL-WR0105] 24AWG Stranded – Black,20,cm,
,> > > > > ,EL-WR0107,[EL-WR0107] 24AWG Stranded – White,20,cm,
,> > > > > ,EL-WR0109,[EL-WR0109] 24AWG Stranded – Yellow,20,cm,
,> > > > > ,EL-WR0111,[EL-WR0111] 24AWG Stranded – Blue,20,cm,
,> > > > > ,EL-WR0119,[EL-WR0119] 24AWG Stranded Wire – Green,20,cm,
,> > > > > ,PC-CN0001,[PC-CN0001]  Molex-Conn Housing 2POS .100 W/Latch,2,PCE,
,> > > > > ,PC-CN0032,[PC-CN0032] Term Block Plug 2POS STR 5.08MM,2,PCE,
,> > > > > ,PC-CN0058,[PC-CN0058] Female 16 pin Molex connector housing,1,PCE,
,> > > > ,EL-HR0176,"[EL-HR0176] TAZ Workhorse, CB Dual Extruder Harness",1,PCE,T8023 7/16/2019
,> > > > > ,EL-MS0059,[EL-MS0059] Molex-CONN TERM FEMALE 22-24AWG TIN Reels of 20K,6,PCE,
,> > > > > ,EL-MS0062,[EL-MS0062] MOLEX-CONN HOUSING 4POS .100 W/LATCH,1,PCE,
,> > > > > ,EL-MS0124,[EL-MS0124] 20-24 AWG Tin Sockets for Receptacle - 4K Reel ,9,PCE,
,> > > > > ,EL-MS0133,"[EL-MS0133] CONN, RCPT, 14 POS w/Brass Inserts",1,PCE,
